Order,Titre_Texte,SOUND,MORPHEMES,M-GLOSS,CATEGORY
439.0,lxdmt,ti,[ti],[of],
440.0,lxdmt,llʒdid,[ll-ʒdid],[the new],N
441.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
442.0,lxdmt,stta,[stta],[six],
443.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
444.0,lxdmt,imma,[imma],[whereas],
445.0,lxdmt,l!bisara,[l-!bisara],[bean soup],N
446.0,lxdmt,mnʃk,[mnʃk],[how much],
447.0,lxdmt,at,[at],[at],
448.0,lxdmt,tga,[t-ga],[3FS-cost:pf],V
449.0,lxdmt,i,[i],[for],
450.0,lxdmt,kilu,[kilu],[one kilogram],N
451.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
452.0,lxdmt,urd,[urd],[neg-deic],
453.0,lxdmt,kilu,[kilu],[one kilogram],N
454.0,lxdmt,hati,[hati],[presentative],
455.0,lxdmt,lbuʒadi,[l-buʒadi],[the artless],N
456.0,lxdmt,at,[at],[AD:Comp],
457.0,lxdmt,tgit,[t-gi-t],[2S-be:pf-2S],V
458.0,lxdmt,iʁ,[iʁ],[if],
459.0,lxdmt,asn,[a-s-n],[dat-3-PM],
460.0,lxdmt,tnnit,[t-nni-t],[2S-tell:pf-2S],V
461.0,lxdmt,kilu,[kilu],[one kilogram],N
462.0,lxdmt,ini,[ini],[3S:tell:ao],V
463.0,lxdmt,ʁar,[ʁar],[just for],
464.0,lxdmt,ʒʒbbanjia,[ʒʒbbanjia],[a bowl],N
465.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
466.0,lxdmt,hati,[hati],[presentative],
467.0,lxdmt,awa,[awa],[so],
468.0,lxdmt,ur,[ur],[neg],
469.0,lxdmt,ʒʒu,[ʒʒu],[never],
470.0,lxdmt,kkiʁ,[kki-ʁ],[visit:pf-1S],V
471.0,lxdmt,mrrakwʃ,[mrrakwʃ],[Marrakech],N
472.0,lxdmt,a,[a],[Voc],
473.0,lxdmt,muħmmad,[muħmmad],[Mohmmad],N
474.0,lxdmt,hati,[hati],[presentative],
475.0,lxdmt,ʁar,[ʁar],[just],
476.0,lxdmt,nttkkl,[n-ttkkl],[1P-count on:ao],V
477.0,lxdmt,ʕla,[ʕla],[on],
478.0,lxdmt,!rbbi,[!rbbi],[God],N
479.0,lxdmt,imma,[imma],[whereas],
480.0,lxdmt,!itts,[!itts],[slumber],N
481.0,lxdmt,mnʃk,[mnʃk],[how much],
482.0,lxdmt,a,[ad],[AD:Comp],
483.0,lxdmt,jswa,[i-swa],[3MS-cost:pf],V
484.0,lxdmt,New_Sentence,New_Sentence,New_Sentence,
